Training scheduled for language : ar 
Got language argument as ar
{'loss': 0.837, 'learning_rate': 1.9918513689700133e-05, 'epoch': 0.02}
{'loss': 0.7893, 'learning_rate': 1.983702737940026e-05, 'epoch': 0.04}
{'loss': 0.7854, 'learning_rate': 1.9755541069100392e-05, 'epoch': 0.06}
{'loss': 0.7626, 'learning_rate': 1.9674054758800523e-05, 'epoch': 0.08}
{'loss': 0.7554, 'learning_rate': 1.9592568448500654e-05, 'epoch': 0.1}
{'loss': 0.7612, 'learning_rate': 1.9511082138200782e-05, 'epoch': 0.12}
{'loss': 0.7514, 'learning_rate': 1.9429595827900913e-05, 'epoch': 0.14}
{'loss': 0.7274, 'learning_rate': 1.9348109517601044e-05, 'epoch': 0.16}
{'loss': 0.7279, 'learning_rate': 1.9266623207301176e-05, 'epoch': 0.18}
{'loss': 0.7409, 'learning_rate': 1.9185136897001307e-05, 'epoch': 0.2}
{'loss': 0.7337, 'learning_rate': 1.9103650586701438e-05, 'epoch': 0.22}
{'loss': 0.7183, 'learning_rate': 1.9022164276401566e-05, 'epoch': 0.24}
{'loss': 0.7392, 'learning_rate': 1.8940677966101697e-05, 'epoch': 0.26}
{'loss': 0.7211, 'learning_rate': 1.8859191655801828e-05, 'epoch': 0.29}
{'loss': 0.7177, 'learning_rate': 1.8777705345501956e-05, 'epoch': 0.31}
{'loss': 0.7082, 'learning_rate': 1.8696219035202087e-05, 'epoch': 0.33}
{'loss': 0.7022, 'learning_rate': 1.861473272490222e-05, 'epoch': 0.35}
{'loss': 0.7088, 'learning_rate': 1.853324641460235e-05, 'epoch': 0.37}
{'loss': 0.7133, 'learning_rate': 1.8451760104302477e-05, 'epoch': 0.39}
{'loss': 0.6913, 'learning_rate': 1.837027379400261e-05, 'epoch': 0.41}
{'loss': 0.709, 'learning_rate': 1.828878748370274e-05, 'epoch': 0.43}
{'loss': 0.6911, 'learning_rate': 1.820730117340287e-05, 'epoch': 0.45}
{'loss': 0.6937, 'learning_rate': 1.8125814863103e-05, 'epoch': 0.47}
{'loss': 0.6961, 'learning_rate': 1.804432855280313e-05, 'epoch': 0.49}
{'loss': 0.6928, 'learning_rate': 1.796284224250326e-05, 'epoch': 0.51}
{'loss': 0.7009, 'learning_rate': 1.788135593220339e-05, 'epoch': 0.53}
{'loss': 0.7134, 'learning_rate': 1.7799869621903524e-05, 'epoch': 0.55}
{'loss': 0.6922, 'learning_rate': 1.771838331160365e-05, 'epoch': 0.57}
{'loss': 0.6857, 'learning_rate': 1.7636897001303783e-05, 'epoch': 0.59}
{'loss': 0.6904, 'learning_rate': 1.7555410691003914e-05, 'epoch': 0.61}
{'loss': 0.6867, 'learning_rate': 1.7473924380704045e-05, 'epoch': 0.63}
{'loss': 0.6875, 'learning_rate': 1.7392438070404173e-05, 'epoch': 0.65}
{'loss': 0.6837, 'learning_rate': 1.7310951760104304e-05, 'epoch': 0.67}
{'loss': 0.6776, 'learning_rate': 1.7229465449804435e-05, 'epoch': 0.69}
{'loss': 0.6863, 'learning_rate': 1.7147979139504566e-05, 'epoch': 0.71}
{'loss': 0.6759, 'learning_rate': 1.7066492829204694e-05, 'epoch': 0.73}
{'loss': 0.6796, 'learning_rate': 1.6985006518904825e-05, 'epoch': 0.75}
{'loss': 0.696, 'learning_rate': 1.6903520208604957e-05, 'epoch': 0.77}
{'loss': 0.6808, 'learning_rate': 1.6822033898305084e-05, 'epoch': 0.79}
{'loss': 0.6678, 'learning_rate': 1.6740547588005215e-05, 'epoch': 0.81}
{'loss': 0.6662, 'learning_rate': 1.6659061277705347e-05, 'epoch': 0.84}
{'loss': 0.6738, 'learning_rate': 1.6577574967405478e-05, 'epoch': 0.86}
{'loss': 0.6683, 'learning_rate': 1.6496088657105606e-05, 'epoch': 0.88}
{'loss': 0.6762, 'learning_rate': 1.6414602346805737e-05, 'epoch': 0.9}
{'loss': 0.6714, 'learning_rate': 1.6333116036505868e-05, 'epoch': 0.92}
{'loss': 0.6668, 'learning_rate': 1.6251629726206e-05, 'epoch': 0.94}
{'loss': 0.6651, 'learning_rate': 1.617014341590613e-05, 'epoch': 0.96}
{'loss': 0.6649, 'learning_rate': 1.608865710560626e-05, 'epoch': 0.98}
{'loss': 0.6593, 'learning_rate': 1.600717079530639e-05, 'epoch': 1.0}
{'eval_loss': 0.7192606329917908, 'eval_accuracy': 0.7019960079840319, 'eval_runtime': 9.5721, 'eval_samples_per_second': 523.395, 'eval_steps_per_second': 32.804, 'epoch': 1.0}
{'loss': 0.5827, 'learning_rate': 1.592568448500652e-05, 'epoch': 1.02}
{'loss': 0.5845, 'learning_rate': 1.5844198174706652e-05, 'epoch': 1.04}
